{'text': '对，输给一个女人，的成绩。失望', 'entities': '人物：说话者（未知）\n地名：无\n机构：无\n位置：未知'}
{'text': '这个头发健康测试有意思，值得大家认真做一遍。神秘的汤玉婷邢凯舟依克希尔女性乐园海贼王漫画全集最后给的健康忠告一定要看。', 'entities': '人物：汤玉婷、邢凯舟\n地名：依克希尔\n机构：女性乐园\n位置：海贼王漫画全集'}
{'text': '唱头发也是那么帅气丶巨能盖如如你是我女神', 'entities': '人物：你\n地名：无\n机构：无\n位置：无'}
{'text': '一定要记住了微博搞笑排行榜种可能会致流产，致宝宝变傻的食物。吃惊', 'entities': '人物：无\n地名：无\n机构：微博\n位置：无'}
{'text': '骂死丫寒羽良麻麻排山倒海青崖白鹿君曝光遥遥的异想快来曝光色狼啦啦啦黄小阳必须曝光。。。色狼都带眼镜曝光', 'entities': '人物：丫寒羽良、黄小阳\n地名：青崖、白鹿君\n机构：无\n位置：排山倒海'}
{'text': '世界美景集超喜欢张爱玲的文字爱你', 'entities': '人物：张爱玲\n地名：世界美景集\n机构：无\n位置：无'}
{'text': '有道理一句窝心话男人拖得起，你拖不起。', 'entities': '人物：男人、你\n地名：无\n机构：无\n位置：无'}
{'text': '国家助学金可以做为校长的零花钱什么社会呀', 'entities': '人物：校长\n地名：无\n机构：国家助学金\n位置：无'}
{'text': '都说女人是水做的，看来我真是太缺水啦兰芝水润指数才分，要尽快展开补水行动了，你也来测试一下，你们的分数会比我高吗？参与测试还有份兰芝水酷润颜精华露体验装及每天一个正装等你拿哦', 'entities': '人物：我\n地名：无\n机构：兰芝\n位置：无'}
{'text': '我刚更新了微博客户端夏日版，全新推出微博好友列表、手机通讯录找好友、摇一摇互粉、微博表态、兴趣社区等众多功能。清凉夏日版，快来和我一起开启微博新能量吧手机大奖等你来拿哦', 'entities': '人物：我\n地名：无\n机构：微博客户端\n位置：手机上'}
{'text': '走你年月日，我高贵的双足首次接触这矜持的大地，当时我在微博船票点，炷香之后，小姐和微博位置小位子也来到了同一个地方，哎呀这些死忠粉真是太烦人小位子，跪下，走你', 'entities': '人物：我、小姐、死忠粉\n地名：微博船票点\n机构：微博\n位置：未明确指定'}
{'text': '所有的约瑟都是伟大的。我愿做任意一位约瑟', 'entities': '人物：约瑟\n地名：无\n机构：无\n位置：无'}
{'text': '找回的新浪密码啦耶∩∩哈哈耶耶', 'entities': '人物：未指定\n地名：新浪\n机构：未指定\n位置：未指定'}
{'text': '阿爸欧妈喝早茶肚子已经咕噜咕噜我在这里', 'entities': '人物：阿爸、欧妈、我\n地名：无\n机构：无\n位置：不确定，只知道“我”在这里。'}
{'text': '祝大卖哦阳光百货阳光西餐厅阿宝他娘管窥蠡测孙', 'entities': '人物：祝、阿宝、孙\n地名：阳光百货、管窥蠡测\n机构：阳光西餐厅\n位置：阳光百货、阳光西餐厅、管窥蠡测'}
{'text': '从小到大如果我是一个乖小孩？如果我现在岁？假如我出现在小学的毕业典礼？突然梦醒在初中的三班？时光倒流在去年的夏天？任何一个转折点都可以让你幸福对，就是在讲你。想让你得到安稳������', 'entities': '人物：我\n地名：小学、初中\n机构：毕业典礼\n位置：三班'}
{'text': '下午整个大组基本都整合到我所在的办公室，结果就是隔着个挡板坐俩领导谨言慎行', 'entities': '人物：领导\n地名：办公室\n机构：大组\n位置：隔着个挡板'}
{'text': '许扬医师最近空气污染严重，秋冬润喉茶又大显身手了。', 'entities': '人物：许扬医师\n地名：无\n机构：无\n位置：无'}
{'text': '美的冰箱苏宁易购国庆狂欢转发赢地址：', 'entities': '人物：无\n地名：苏宁易购\n机构：美的冰箱\n位置：无'}
{'text': '。。不是第一蛮挖鼻屎璐回忆再美也不属于我苦逼青年杨素晗毛先森家的江小姐', 'entities': '人物：蛮挖鼻屎璐、杨素晗、毛先森、江小姐\n地名：无\n机构：无\n位置：毛先森家'}
{'text': '為你買禮物了雖然我好捨不得它，不過還是希望你會喜歡。你可以拿它跟魷魚炫耀哦不禮物照啦保留神秘感張旭', 'entities': '人物：张旭\n地名：无\n机构：无\n位置：无'}
{'text': '翎墨千里华风一日尽呵呵不不子所以狐狸叔说，对白羊女那么粗糙的生物，表白至少有胜算惨绿王子很苦逼来来来冷水樱不不子洋葱大白羊的妹子们你威武雄壮', 'entities': '人物：狐狸叔、白羊女、惨绿王子、冷水樱、洋葱大白羊的妹子们\n地名：无\n机构：无\n位置：无'}
{'text': '女人啊大概也只有在挑衣服的时候意志力比较顽强不合心意不罢休噢格子大人是格格巫宝贝儿你歇会儿再找我就先睡了下班', 'entities': '人物：女人、格子大人\n地名：无\n机构：无\n位置：不确定，可能是在家里或者在商场购物。'}
{'text': '此萌男身高，体重。西南广厦设计师，射手座♐。喜欢萌妹纸，那种大眼睛，皮肤白，会油画，可以萌软可以汉纸。她有一个名字叫做卢璐。认识的帮忙关注一下噢噜噜六六', 'entities': '人物：此萌男、萌妹纸卢璐\n地名：西南广厦\n机构：无\n位置：无'}
{'text': '儿子迫不及待一大早到达实验幼儿园，见到圣诞老人，好开心哟，我们也跟着受到感染', 'entities': '人物：儿子、圣诞老人\n地名：实验幼儿园\n机构：无\n位置：未知'}
{'text': '妈妈们节日快乐丫曾若彤爱你爱你爱你', 'entities': '人物：曾若彤\n地名：无\n机构：无\n位置：无'}
{'text': '抽到吧吴小公民的微博鼓掌鼓掌', 'entities': '人物：吴小公民\n地名：无\n机构：无\n位置：无'}
{'text': '国资小新央企自主研发高科技产品，在抗震救灾中发挥独特作用。不抛弃、不放弃，共同努力，黄金救援进行时心心', 'entities': '人物：国资小新央企\n地名：无\n机构：无\n位置：抗震救灾现场'}
{'text': '女人好似鸡蛋，外面很硬，里面很清纯，内心很黄男人好似芒果，外面很黄，里面更黄', 'entities': '人物：女人、男人\n地名：无\n机构：无\n位置：无'}
{'text': '今天才与妈妈分别，觉得很失落。失望失望敏敏大侠女郎慢慢地，你开始长大，每一次挥手作别，都将我们与父母之间的距离拉远。这句话残忍而真实', 'entities': '人物：我、妈妈、父母\n地名：无\n机构：无\n位置：无'}
{'text': '终于知道什么叫做万绿丛中一点红了挖鼻屎挖鼻屎挖鼻屎风景好美鼓掌鼓掌鼓掌还有那一对对拍婚纱照的准新人鼓掌鼓掌鼓掌鼓掌', 'entities': '人物：准新人\n地名：未提及\n机构：未提及\n位置：可能是一个公园或者景区。'}
{'text': '她到底心里喜欢的是谁她自己也不知道。她和现任男友交往时，她会吃醋。可是，当她看到前男友为他女朋友写个签时，她也会心痛。看到暗恋自己很久的男生已有了女朋友时，她会心酸。她难受了太多次，心伤了很多次，就是不知道这颗心到底是属于谁的。我这样算是一个滥情人吗。', 'entities': '人物：她、前男友、男生、女友\n地名：无\n机构：无\n位置：无'}
{'text': '赶紧回来把，妹子，这有人很想你～进退皆是冷敷衍急寻', 'entities': '人物：妹子，有人\n地名：无\n机构：无\n位置：无'}
{'text': '资金流向截止年月日，黔源电力收于元，流入资金万，流出资金万，净流入万，其中主力净流入为万。', 'entities': '人物：无\n地名：黔源电力\n机构：无\n位置：资金流向截止年月日'}
{'text': '我也觉得雷明挖鼻屎我也觉得不公平', 'entities': '人物：我、雷明\n地名：无\n机构：无\n位置：无'}
{'text': '我叫赵新民流哈喇子了。。。。。', 'entities': '人物：赵新民\n地名：无\n机构：无\n位置：无'}
{'text': '新浪微博客户端全新升级信息流图片加载速度提升；发布器支持多张图片一键分享；新增、浪小花表情。观看视频，了解更多下载地址：', 'entities': '人物：无\n地名：无\n机构：新浪微博客户端\n位置：信息流、发布器'}
{'text': '我叫赵新民哈哈美女日记她睁开眼，昨夜的醉意已经褪去', 'entities': '人物：赵新民、美女日记的作者\n地名：无\n机构：无\n位置：美女日记的作者睁开眼的地方'}
{'text': '张歆艺太难啦泪泪泪哈哈哈哈', 'entities': '人物：张歆艺\n地名：无\n机构：无\n位置：无'}
{'text': '只有亲身经历的人才能够体会时尚女性没有什么能够真正感同身受', 'entities': '人物：时尚女性\n地名：无\n机构：无\n位置：无'}
{'text': '走你年月日，我有了第一条微博足迹，当时我在微博船票点，炷香之后，微博位置小位子也来到了同一个地方，这就是猿粪啊，宝尼你说呢？记忆无须粉饰，光阴从未虚度，，走你', 'entities': '人物：我、猿粪、宝尼\n地名：微博船票点、微博位置、猿粪\n机构：微博\n位置：微博位置小位子'}
{'text': '裸婚时代刘易阳说：细节打败爱情原来是真的，今天我的爱情也被现实生活所打败，而且伤得很彻底思考', 'entities': '人物：刘易阳\n地名：无\n机构：无\n位置：无'}
{'text': '我刚更新了微博客户端冬季版信息流全面支持赞；新增精彩密友功能，支持发布密友微博、查看密友圈、添加密友；优化发布器，支持显示当前帐号昵称；支持手势返回前页。下载地址：', 'entities': '人物：无\n地名：无\n机构：微博客户端\n位置：下载地址未提及'}
{'text': '今天，阳历农历，我们家的小公主出生了，斤，多么的可爱啊，小姑爱死你了亲亲亲亲我在', 'entities': '人物：我们家的小公主、小姑\n地名：无\n机构：无\n位置：无'}
{'text': '联通沃门户携手乐影网双重回馈您影票、手机感恩大礼支持一下感觉挺不错的地址：', 'entities': '人物：无\n地名：无\n机构：联通、沃门户、乐影网\n位置：无具体位置信息，只提到“支持一下感觉挺不错的地址”'}
{'text': '明天据说有«消失的子弹»媒体场也是娜娜拍狗头真的是昭君有没人要来看啊围观', 'entities': '人物：娜娜、昭君\n地名：无\n机构：媒体场\n位置：无'}
{'text': '回复雅痞迷彩人偷笑读书的时候，只要用这种全套的蓝黑红，我怀念一下当初的感觉害羞雅痞迷彩人范老师批作业咯？', 'entities': '人物：雅痞迷彩人、范老师\n地名：无\n机构：无\n位置：无'}
{'text': '对美英说：哦？评论不了了吗？', 'entities': '人物：你（发出这句话的人）\n地名：无\n机构：无\n位置：无法确定，可能是在电脑或手机上浏览网页时发出的评论。'}
{'text': '谭莉的方向，从到米阿谭不温油我在', 'entities': '人物：谭莉\n地名：米阿谭\n位置：不确定\n机构：无'}
{'text': '我叫赵新民好恐怖啊啊啊啊啊啊', 'entities': '人物：赵新民\n地名：无\n机构：无\n位置：无'}
{'text': '晋祠很值得一来，现在才明白真正的风水宝地啊。我在这里', 'entities': '人物：我\n地名：晋祠\n位置：不确定，但可以推测是在晋祠内部或周边\n机构：无'}
{'text': '我叫赵新民好恐怖啊啊啊啊啊啊我们去办护照吧', 'entities': '人物：赵新民\n地名：无\n机构：无\n位置：无法确定，可能是在某个城市或国家的某个地方。'}
{'text': '今天我弟也不知道什么情况，居然怎么认真，都不知道我在偷拍、、不好意思我在', 'entities': '句子中的人物：我弟\n地名：无\n机构：无\n位置：无'}
