{'text': '漫步在这山间的小道上', 'predict': '关系名：Located'}
{'text': '我坚强地安慰妈妈说:“没事，我脚并没有感觉冷。”其实我是多么渴望有一双雨靴啊!还有一次，我去邻镇的小姑家', 'predict': "'妈妈'属于'Family'关系，'邻镇的小姑'属于'Located'关系。"}
{'text': '更令我震惊的是最下端有四位阿拉伯数字：“<N>!”', 'predict': '属于Part-Whole（部分-整体）关系。'}
{'text': '老先生在殡仪馆为老太太梳头时', 'predict': '关系：Social'}
{'text': '恰好河底下有一只河蚬正张开双两个贝壳，蔡妮的舌头不偏不歪的掉在贝壳中', 'predict': 'Part-Whole (部分-整体)关系，因为“一只河蚬”和“两个贝壳”是构成整体的部分。'}
{'text': '呼唤着我们从土壤中张开有力的臂膀来保护您;因为', 'predict': "'我们'属于Social关系，'有力的臂膀'属于Part-Whole关系。"}
{'text': '当母亲牵着我的手走进亮堂堂的客厅的一刻', 'predict': '关系：Family'}
{'text': '家里每年在腊月都腌一大坛子咸腊肉', 'predict': '家里和坛子属于"Part-Whole"（部分-整体）关系。'}
{'text': '也不宽，路旁栽着法国梧桐树，人行道上铺着红白相间的砖', 'predict': "'路旁'和'法国梧桐树'属于'Located'关系。"}
{'text': '漫望天外云卷云舒', 'predict': '这个句子中没有明显的关系词，因此无法确定“天外”和“云”属于哪种关系。'}
{'text': '树腰生出一股粗大的根，垂直向下窜入泥土之中', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '唐大工像调皮孩子拉住我的手小声说道', 'predict': '关系：Social'}
{'text': '他栽的有枣树、桃树、杏树、晋农一号优种核桃、刺槐、曲柳、毛白杨等数十个树种。', 'predict': "'毛白杨'和'数十个树种'属于'Part-Whole'关系，因为它们是句子中列举的多个树种中的一部分。"}
{'text': '听到他打呼噜，她就轻轻搡他一把，声音就会戛然而止', 'predict': 'Part-Whole（部分-整体）'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'青衣江'和'犍为郡'属于关系名'鱼米之乡'。"}
{'text': '近来，老张头添了毛病，晚上睡觉打呼噜，并且越打越厉害，呼――!呼――!连吃带喝。有时那声音一直往上拔', 'predict': '老张头和晚上属于时间关系（Near）。'}
{'text': '文革中<N>年，成千上万北京知青，也乘着排成长龙的汽车，离开北京长途跋涉来到广阔天地――内蒙古大草原的情景历历在目。', 'predict': "'成千上万北京知青'和'排成长龙的汽车'属于'General-Special'关系，因为它们是文革时期的一种特殊情景，属于一般和特殊的关系。"}
{'text': '就像蜡烛水状摊涂在矮墙上', 'predict': 'Part-Whole（部分-整体）'}
{'text': '缓缓而行，脚下发出孜孜声音，蓦地闪现出一个奇异的联想：这世界上有多少片树叶?恐怕要比人类多多少倍吧?据说', 'predict': 'Part-Whole (部分-整体)关系。'}
{'text': '而我的信念之力在平凡中决意地回归便是源于爷爷的党费箱。', 'predict': "'我'和'爷爷'属于'Family'（家庭）关系。"}
{'text': '目睹有的老年拉着拐棍行走', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '乌鸦，这破嘴的鸟，扑棱着翅膀', 'predict': 'Part-Whole（部分-整体）关系。因为“乌鸦”和“鸟”都是整体中的一部分。'}
{'text': '父亲逝世后，母亲黯然失神.在南充举目无亲的情况下', 'predict': "'母亲'属于'Family'关系，'目'属于'Part-Whole'关系。"}
{'text': '恰好河底下有一只河蚬正张开双两个贝壳，蔡妮的舌头不偏不歪的掉在贝壳中', 'predict': 'Part-Whole (部分-整体)关系。'}
{'text': '瀑布两侧石岩上，杂草丛生', 'predict': '属于"Located" (位置关系)。'}
{'text': '近来，老张头添了毛病，晚上睡觉打呼噜，并且越打越厉害，呼――!呼――!连吃带喝。有时那声音一直往上拔', 'predict': '老张头属于Family关系，那声音属于General-Special关系。'}
{'text': '现在有许多瓶窑人成了富翁做了大老板', 'predict': 'Family (家庭关系)'}
{'text': '雕像好像是泥塑的', 'predict': "根据句子，'雕像'和'泥'属于Part-Whole（部分-整体）关系，因为'泥'是'雕像'的一部分。"}
{'text': '各方面条件挺好，我们希望你来绥化铁路司机学校学习。”', 'predict': '关系：Social'}
{'text': '一个人坐在房间里，吹着空调的冷风', 'predict': 'Part-Whole（部分-整体）关系。因为房间和空调都是构成整个场景的一部分，而不是社交关系、位置关系等其他类型的关系。'}
{'text': '波丽娜全家乔迁德国的巴登，屠格涅夫不顾家人的反对跟到了巴登', 'predict': '家人和屠格涅夫属于"Family"关系。'}
{'text': '我和哥哥盛面的是大碗', 'predict': "句子中的'我'和'哥哥'属于'Family'（家庭）关系。"}
{'text': '生产队长娇守云对我说：这几天东南沟蜂场有黑瞎子搬蜂箱', 'predict': "句子中的'我'和'黑瞎子'属于社会关系。"}
{'text': '上百年土木结构的建筑群，多合院的老房子保留完整，无声地记录着岁月的痕迹，甚至有泥墙垒砌的猪圈，至今还养着猪。', 'predict': "'多合院的老房子'属于'Part-Whole'关系，'猪圈'属于'General-Special'关系。"}
{'text': '我常忆难忘那里的水。', 'predict': '\'那里的水\'和\'那里\'属于"Located"关系。'}
{'text': '靠着火车站是一座小巧玲珑的小山，约百米多高。', 'predict': '关系名：Located'}
{'text': '这是一七九一年由奥地利天才作曲家莫扎特作曲、奥弗贝克作词的一首原为德文的童声合唱曲，表达了作者对春天的无限憧憬和热爱之情。', 'predict': "'奥弗贝克'属于'Create'关系，'一首原为德文的童声合唱曲'属于'General-Special'关系。"}
{'text': '我想到许多，部长和助理的话一次次在我脑海中闪过', 'predict': '关系：General-Special'}
{'text': '因看到香港《文汇报》上刊登的鲁光牛画集挂历，托人向鲁光索牛画。', 'predict': '属于"Part-Whole"关系，因为"鲁光"是"牛画集挂历"的作者或者所有者。'}
{'text': '我听母亲讲述过离开南充的情形：父亲的骸骨掩埋在南充郊外后', 'predict': '\'南充\'和\'南充郊外\'属于"Located"（位置关系）的关系。'}
{'text': '是对疼她、关心她的人给以无情的伤害和打击。我想，这种人要自救', 'predict': "'疼她、关心她的人'属于'Social'关系，'这种人'属于'General-Special'关系。"}
{'text': '思念之情如洪水猛兽，一股暖流在周身涌动', 'predict': '\'洪水猛兽\'属于"General-Special"关系，\'周身\'属于"Part-Whole"关系。'}
{'text': '弄堂里散落着林林总总的店铺，卖吃食的', 'predict': '属于"Located"（位置关系）的范畴。'}
{'text': '客人呷茶张望，焦急以待男人与坐议事。', 'predict': "根据句子，'客人'和'男人'属于'General-Special'（一般-特殊）关系，因为他们是句子中特定的人物角色。"}
{'text': '有一家的门楣上已经挂上了新的白底蓝字的招牌：“中国移动通信、中国联通电信”', 'predict': "'门楣上'属于'Located'关系，'新的白底蓝字的招牌'属于'Part-Whole'关系。"}
{'text': '泪花在口中是咸的', 'predict': '句子“泪花在口中是咸的”中的“泪花”和“口中”属于“Located”（位置关系）的范畴。'}
{'text': '我和伙伴们从水边摸来螺蛳，砸碎坚壳，放在竹篮里钓虾', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '小径躲在树林里，人们躲在小径里，寻找属于自己的一片天地，似乎只有在这里才能完美和静化自己…', 'predict': "'树林里'和'人们'属于'Located'（位置关系）的关系。"}
{'text': '饱含着母亲的爱心和希望，我不禁泪如雨下。', 'predict': '情感关系（Social）'}
{'text': '暴雨倾盆，街上的行人本能地双手护头', 'predict': "关系：Part-Whole\n\n'街上的行人'和'双手'都是句子中的部分，属于Part-Whole（部分-整体）关系。"}
{'text': '于是我又利用我在华港镇担任工商联副主席、姜堰市私营协会理事的机会，发动、组织了不少有爱心的工商户投身到公益事业', 'predict': "'我'和'有爱心的工商户'属于'General-Special'（一般特殊）关系，因为'我'是'有爱心的工商户'中的一个特殊的成员，而'有爱心的工商户'是一个更一般的类别。"}
{'text': '春夏交接时，我们几个小女孩经常跟大男孩一起，用畚箕捕捞鱼虾', 'predict': '关系：Social, Part-Whole\n\n其中，“我们”属于Social关系，“畚箕”属于Part-Whole关系。'}
{'text': '黎明时分，鸟儿们在枝头七嘴八舌地议论起来。', 'predict': "'鸟儿们'和'枝头'属于'Located'（位置）关系。"}
{'text': '他成为山西省作家协会会员，一批在读者间广泛流传的文学作品', 'predict': '关系：Ownership'}
{'text': '客厅里放着图像清晰的液晶电视，书房里有电脑、有音响', 'predict': "'书房里'和'电脑'属于'Part-Whole'（部分-整体）关系。"}
{'text': '幸好<N>年重庆水轮机厂到璧山招工，母亲闻讯后急急忙忙连夜跑到乡政府，向乡政府领导诉说自己年轻时如何失去丈夫，而今生活如何艰难', 'predict': "'母亲'和'乡政府领导'属于'社会关系'。"}
{'text': '篾匠们就用这些黑色的水竹篾编出大喜字', 'predict': "'篾匠们'和'水竹篾'属于“Use”关系，因为篾匠们使用水竹篾编出大喜字。"}
{'text': '我就迫不及待地穿在身上，双手插入下面的衣袋，仰起头', 'predict': 'Part-Whole（部分-整体）关系，因为“双手”是“下面的衣袋”的一部分。'}
{'text': '只见他将长长的竹杆插入河底三捣两捣就能钩上一只蚬子', 'predict': '关系：Part-Whole\n\n他是句子中的一个部分，指代一个人或者物品，属于Part-Whole关系。\n\n一只是句子中的一个部分，指代一个物品，属于Part-Whole关系。'}
{'text': '从柜内翻出一瓶泸州特曲。', 'predict': "'柜内'和'一瓶泸州特曲'属于'Part-Whole'（部分-整体）关系。"}
{'text': '而后，母亲用一个箩筐，自己动手', 'predict': '母亲和自己属于Part-Whole关系。'}
{'text': '临湖的一株桂树下，随便地摆放着一张极为简约的小茶几', 'predict': 'Near'}
{'text': '春夏交接时，我们几个小女孩经常跟大男孩一起，用畚箕捕捞鱼虾', 'predict': '春夏交接时和我们属于Social关系。'}
{'text': '黄河丹峡位于三门峡市渑池县坡头乡境内，地处豫晋两省五县交界处。北临黄河，南依黛眉山', 'predict': '黄河丹峡和黄河属于"Located"（位于）关系。'}
{'text': '尊岐伯为老师，一起共研医学其文献“黄帝内经”', 'predict': '关系：Social'}
{'text': '效率极低;而现代的木工，是用电锯、电子、电钻等现代木工工具', 'predict': "'现代的木工'和'电锯'属于General-Special（一般特殊）关系。"}
{'text': '点兵的号角响起了，阿雄随军而去。而妻子阿梅煮了几斤大米饭', 'predict': '关系：Family'}
{'text': '我去市郊城南村参加了老曹孙子的婚礼。', 'predict': "'老曹'和'孙子'属于'Family'关系。"}
{'text': '中华发源于黄河流域，远播世界各地的丝绸、陶器、针灸等为人类作出了不可磨灭的巨大贡献。黄水流淌<N>千米', 'predict': '黄河和黄水属于"Located"关系，即位置关系。'}
{'text': '在无数个夜晚我想尽了你的容颜，还有那还没有发生的故事情节', 'predict': '关系：Social'}
{'text': '大概从没有这条小径的时候我的脚印就曾经在这里留下过长长的蜿蜒的蛛丝马迹。', 'predict': 'Part-Whole (部分-整体)关系。'}
{'text': '因为害怕排很长的队，母亲早早地就准备好了，带着我乘车去百货商场了。', 'predict': 'Family (家庭关系)'}
{'text': '浩荡的长江，南国的稻海，北国的麦浪', 'predict': '\'南国的稻海\'和\'南国\'属于"Located"（位置关系）的关系。'}
{'text': '今天看了你的画，水平超过我了', 'predict': '关系名为"General-Special"，表示一般与特殊的关系，其中"你的画"是特殊的，"你"是一般的。'}
{'text': '这几年，他竞靠捕鱼、钩蚬子卖钱养育了两个上大学的儿子。', 'predict': "'鱼'属于'Part-Whole'关系，'两个上大学的儿子'属于'Ownership'关系。"}
{'text': '只见那孩子心脏跳动的胸脯处，有半块馒头大小的肉包忽隐忽现，全身瘦得只剩一层皮，肋巴扇快要透亮了。', 'predict': 'Part-Whole（部分-整体）关系，因为“那孩子”是指整个人，而“馒头”是指其中的一部分。'}
{'text': '家里楼上就装满了我和姐姐从山上搬来的干柴，可以一年到头不用买柴', 'predict': "'我'和'干柴'属于'Part-Whole'（部分-整体）关系，因为句子中的'我'是指家庭成员之一，而'干柴'是家里楼上存放的一部分物品。"}
{'text': '一天傍晚，蔡妮做好面条后', 'predict': 'Part-Whole (部分-整体)关系，因为蔡妮是面条的制作者或者说是面条的一部分。'}
